LexToken(H1,'# ',1,0)
LexToken(CHAR,'m',10,284)
LexToken(CHAR,'f',10,285)
LexToken(CHAR,'o',10,286)
LexToken(CHAR,'r',10,287)
LexToken(CHAR,'t',10,288)
LexToken(CHAR,'a',10,289)
LexToken(CHAR,'b',10,290)
LexToken(CHAR,'l',10,291)
LexToken(CHAR,'e',10,292)
LexToken(SPACE,' ',10,293)
LexToken(CHAR,'s',10,294)
LexToken(CHAR,'h',10,295)
LexToken(CHAR,'o',10,296)
LexToken(CHAR,'e',10,297)
LexToken(CHAR,'s',10,298)
LexToken(DOUBLESTARCLOSE,'**',10,299)
LexToken(CHAR,',',10,301)
LexToken(SPACE,' ',10,302)
LexToken(CHAR,'i',10,303)
LexToken(SPACE,' ',10,304)
LexToken(CHAR,'b',10,305)
LexToken(CHAR,'e',10,306)
LexToken(CHAR,'t',10,307)
LexToken(SPACE,' ',10,308)
LexToken(CHAR,'y',10,309)
LexToken(CHAR,'o',10,310)
LexToken(CHAR,'u',10,311)
LexToken(SPACE,' ',10,312)
LexToken(CHAR,'c',10,313)
LexToken(CHAR,'l',10,314)
LexToken(CHAR,'o',10,315)
LexToken(CHAR,'u',10,316)
LexToken(CHAR,'d',10,317)
LexToken(SPACE,' ',10,318)
LexToken(CHAR,'w',10,319)
LexToken(CHAR,'a',10,320)
LexToken(CHAR,'l',10,321)
LexToken(CHAR,'k',10,322)
LexToken(SPACE,' ',10,323)
LexToken(CHAR,'a',10,324)
LexToken(CHAR,'l',10,325)
LexToken(CHAR,'l',10,326)
LexToken(SPACE,' ',10,327)
LexToken(CHAR,'d',10,328)
LexToken(CHAR,'a',10,329)
LexToken(CHAR,'y',10,330)
LexToken(SPACE,' ',10,331)
LexToken(CHAR,'i',10,332)
LexToken(CHAR,'n',10,333)
LexToken(SPACE,' ',10,334)
LexToken(UNDERLINEOPEN,'_',10,335)
LexToken(CHAR,'s',10,336)
LexToken(CHAR,'h',10,337)
LexToken(CHAR,'o',10,338)
LexToken(CHAR,'e',10,339)
LexToken(CHAR,'s',10,340)
LexToken(UNDERLINECLOSE,'_',10,341)
LexToken(SPACE,' ',10,342)
LexToken(CHAR,'l',10,343)
LexToken(CHAR,'i',10,344)
LexToken(CHAR,'k',10,345)
LexToken(CHAR,'e',10,346)
LexToken(SPACE,' ',10,347)
LexToken(CHAR,'t',10,348)
LexToken(CHAR,'h',10,349)
LexToken(CHAR,'a',10,350)
LexToken(CHAR,'t',10,351)
LexToken(SPACE,' ',10,352)
LexToken(CHAR,'a',10,353)
LexToken(CHAR,'n',10,354)
LexToken(CHAR,'d',10,355)
LexToken(SPACE,' ',10,356)
LexToken(CHAR,'n',10,357)
LexToken(CHAR,'o',10,358)
LexToken(CHAR,'t',10,359)
LexToken(SPACE,' ',10,360)
LexToken(CHAR,'f',10,361)
LexToken(CHAR,'e',10,362)
LexToken(CHAR,'e',10,363)
LexToken(CHAR,'l',10,364)
LexToken(SPACE,' ',10,365)
LexToken(CHAR,'a',10,366)
LexToken(SPACE,' ',10,367)
LexToken(CHAR,'t',10,368)
LexToken(CHAR,'h',10,369)
LexToken(CHAR,'i',10,370)
LexToken(CHAR,'n',10,371)
LexToken(CHAR,'g',10,372)
LexToken(CHAR,'.',10,373)
LexToken(CHAR,'i',10,374)
LexToken(SPACE,' ',10,375)
LexToken(CHAR,'w',10,376)
LexToken(CHAR,'i',10,377)
LexToken(CHAR,'s',10,378)
LexToken(CHAR,'h',10,379)
LexToken(SPACE,' ',10,380)
LexToken(CHAR,'i',10,381)
LexToken(SPACE,' ',10,382)
LexToken(CHAR,'h',10,383)
LexToken(CHAR,'a',10,384)
LexToken(CHAR,'v',10,385)
LexToken(CHAR,'e',10,386)
LexToken(SPACE,' ',10,387)
LexToken(L_SB,'[',10,388)
LexToken(CHAR,'s',10,389)
LexToken(CHAR,'h',10,390)
LexToken(CHAR,'o',10,391)
LexToken(CHAR,'e',10,392)
LexToken(CHAR,'s',10,393)
LexToken(R_SB,']',10,394)
LexToken(L_RB,'(',10,395)
LexToken(URL,'http://www.taobao.com/',10,396)
LexToken(R_RB,')',10,418)
LexToken(SPACE,' ',10,419)
LexToken(CHAR,'l',10,420)
LexToken(CHAR,'i',10,421)
LexToken(CHAR,'k',10,422)
LexToken(CHAR,'e',10,423)
LexToken(SPACE,' ',10,424)
LexToken(CHAR,'t',10,425)
LexToken(CHAR,'h',10,426)
LexToken(CHAR,'a',10,427)
LexToken(CHAR,'t',10,428)
LexToken(CHAR,'.',10,429)
LexToken(CR,' \n',10,430)
LexToken(CR,'\n',11,433)
LexToken(CHAR,'m',12,434)
LexToken(CHAR,'y',12,435)
LexToken(SPACE,' ',12,436)
LexToken(CODEOPEN,'`',12,437)
LexToken(CHAR,'m',12,438)
LexToken(CHAR,'a',12,439)
LexToken(CHAR,'m',12,440)
LexToken(CHAR,'a',12,441)
LexToken(CODECLOSE,'`',12,442)
LexToken(SPACE,' ',12,443)
LexToken(CHAR,'a',12,444)
LexToken(CHAR,'l',12,445)
LexToken(CHAR,'w',12,446)
LexToken(CHAR,'a',12,447)
LexToken(CHAR,'y',12,448)
LexToken(CHAR,'s',12,449)
LexToken(SPACE,' ',12,450)
LexToken(CHAR,'s',12,451)
LexToken(CHAR,'a',12,452)
LexToken(CHAR,'i',12,453)
LexToken(CHAR,'d',12,454)
LexToken(SPACE,' ',12,455)
LexToken(CHAR,'t',12,456)
LexToken(CHAR,'h',12,457)
LexToken(CHAR,'e',12,458)
LexToken(CHAR,'r',12,459)
LexToken(CHAR,'e',12,460)
LexToken(CHAR,"'",12,461)
LexToken(CHAR,'s',12,462)
LexToken(SPACE,' ',12,463)
LexToken(CHAR,'a',12,464)
LexToken(CHAR,'n',12,465)
LexToken(SPACE,' ',12,466)
LexToken(CHAR,'a',12,467)
LexToken(CHAR,'w',12,468)
LexToken(CHAR,'f',12,469)
LexToken(CHAR,'u',12,470)
LexToken(CHAR,'l',12,471)
LexToken(SPACE,' ',12,472)
LexToken(CHAR,'l',12,473)
LexToken(CHAR,'o',12,474)
LexToken(CHAR,'t',12,475)
LexToken(SPACE,' ',12,476)
LexToken(CHAR,'y',12,477)
LexToken(CHAR,'o',12,478)
LexToken(CHAR,'u',12,479)
LexToken(SPACE,' ',12,480)
LexToken(CHAR,'c',12,481)
LexToken(CHAR,'a',12,482)
LexToken(CHAR,'n',12,483)
LexToken(SPACE,' ',12,484)
LexToken(CHAR,'t',12,485)
LexToken(CHAR,'e',12,486)
LexToken(CHAR,'l',12,487)
LexToken(CHAR,'l',12,488)
LexToken(SPACE,' ',12,489)
LexToken(CHAR,'a',12,490)
LexToken(CHAR,'b',12,491)
LexToken(CHAR,'o',12,492)
LexToken(CHAR,'u',12,493)
LexToken(CHAR,'t',12,494)
LexToken(SPACE,' ',12,495)
LexToken(CHAR,'a',12,496)
LexToken(SPACE,' ',12,497)
LexToken(CHAR,'p',12,498)
LexToken(CHAR,'e',12,499)
LexToken(CHAR,'r',12,500)
LexToken(CHAR,'s',12,501)
LexToken(CHAR,'o',12,502)
LexToken(CHAR,'n',12,503)
LexToken(SPACE,' ',12,504)
LexToken(CHAR,'b',12,505)
LexToken(CHAR,'y',12,506)
LexToken(SPACE,' ',12,507)
LexToken(CHAR,'t',12,508)
LexToken(CHAR,'h',12,509)
LexToken(CHAR,'e',12,510)
LexToken(CHAR,'i',12,511)
LexToken(CHAR,'r',12,512)
LexToken(SPACE,' ',12,513)
LexToken(CHAR,'s',12,514)
LexToken(CHAR,'h',12,515)
LexToken(CHAR,'o',12,516)
LexToken(CHAR,'e',12,517)
LexToken(CHAR,'s',12,518)
LexToken(CHAR,'.',12,519)
LexToken(CHAR,'w',12,520)
LexToken(CHAR,'h',12,521)
LexToken(CHAR,'e',12,522)
LexToken(CHAR,'r',12,523)
LexToken(CHAR,'e',12,524)
LexToken(SPACE,' ',12,525)
LexToken(CHAR,'t',12,526)
LexToken(CHAR,'h',12,527)
LexToken(CHAR,'e',12,528)
LexToken(CHAR,'y',12,529)
LexToken(CHAR,"'",12,530)
LexToken(CHAR,'r',12,531)
LexToken(CHAR,'e',12,532)
LexToken(SPACE,' ',12,533)
LexToken(CHAR,'g',12,534)
LexToken(CHAR,'o',12,535)
LexToken(CHAR,'n',12,536)
LexToken(CHAR,'e',12,537)
LexToken(CHAR,',',12,538)
LexToken(SPACE,' ',12,539)
LexToken(CHAR,'w',12,540)
LexToken(CHAR,'h',12,541)
LexToken(CHAR,'e',12,542)
LexToken(CHAR,'r',12,543)
LexToken(CHAR,'e',12,544)
